,bedroom,bathroom,area,parking,price
3,3,2,297,2,18500
4,2,2,99,2,12500
5,2,2,204,2,25000
6,2,2,192,1,15000
7,0,2,192,1,15000
8,2,2,192,1,15000
9,1,1,192,1,15000
10,2,1,192,1,15000
11,3,3,304,2,18300
12,3,4,304,2,18300
13,2,2,304,2,18300
14,2,2,304,2,18300
17,4,4,198,2,22000
18,3,4,198,2,22000
19,3,2,198,2,22000
20,3,2,198,2,22000
21,2,2,154,2,17000
22,2,2,154,2,17000
24,3,3,218,2,25000
25,3,2,200,1,12000
28,3,3,580,4,30000
29,4,4,580,4,30000
30,3,3,250,2,18800
31,3,2,250,2,18800
32,2,2,140,2,18800
33,3,4,240,2,32000
34,3,3,384,2,28000
35,3,2,650,4,17000
36,3,2,650,4,17000
37,3,2,650,4,17000
40,4,4,417,2,35000
41,4,4,417,2,35000
42,4,4,680,2,17000
43,4,4,680,2,17000
44,3,3,680,2,17000
45,3,3,680,2,17000
46,2,2,680,2,17000
47,3,3,680,2,17000
48,2,2,204,2,25000
49,3,3,330,2,19000
50,2,2,330,2,19000
51,3,2,330,2,19000
52,2,2,330,2,19000
53,2,2,330,2,19000
54,3,3,218,2,25000
55,2,2,160,2,6500
56,3,2,204,2,16000
57,3,3,626,2,24500
58,3,3,318,2,24500
59,3,3,318,2,24500
60,3,3,318,2,24500
61,2,2,318,2,24500
62,3,3,318,2,24500
63,2,2,318,2,24500
64,3,2,200,1,12000
65,3,3,234,2,23000
66,3,3,526,2,25000
67,3,3,526,2,25000
68,2,2,526,2,25000
69,3,3,580,4,30000
70,3,2,250,2,18500
71,2,2,250,2,18500
79,3,3,280,2,15900
80,2,2,121,2,21000
86,4,3,350,2,17500
88,4,4,300,2,32000
89,3,2,300,2,32000
90,3,4,230,2,23000
92,2,3,200,2,11500
93,4,4,680,2,11500
94,3,2,680,2,11500
95,3,4,450,3,30000
96,2,2,450,3,30000
97,1,3,518,2,25000
98,3,2,250,2,18500
101,3,4,530,2,15000
102,3,4,250,2,26000
103,3,3,250,2,26000
104,4,4,625,2,26000
105,4,2,225,2,14000
106,4,4,225,2,14000
112,2,1,160,1,6000
113,4,4,300,2,32000
114,2,2,300,2,32000
115,2,2,158,2,18500
116,2,2,116,2,19000
117,2,1,116,2,19000
118,2,2,116,2,19000
119,4,3,200,1,18000
120,3,3,200,1,18000
121,3,3,200,1,18000
122,2,2,200,1,18000
123,2,2,200,1,18000
124,2,2,110,2,20000
125,3,2,110,2,20000
126,3,2,196,2,12900
130,3,3,450,4,25000
131,0,3,450,4,25000
132,2,2,105,4,25000
133,2,2,137,2,16000
134,3,3,132,2,19000
135,3,3,626,2,24500
136,4,3,350,2,17500
137,3,2,350,2,17500
138,3,3,350,2,17500
139,4,4,350,2,17500
140,4,4,350,2,17500
141,5,4,350,2,17500
142,4,3,350,2,17500
143,3,3,500,3,30000
146,3,2,300,2,16000
147,3,3,325,2,16000
148,2,2,154,2,17000
149,3,3,304,2,20150
151,3,2,176,2,22000
152,3,2,176,2,22000
153,3,2,176,2,22000
154,3,3,176,2,22000
155,3,3,300,2,23000
156,2,2,100,2,16000
157,4,3,300,2,16000
158,2,1,160,1,6000
159,2,2,160,1,6000
160,2,1,160,1,6000
161,3,2,300,2,16000
162,3,4,300,2,16000
170,3,3,250,2,11000
171,2,3,250,2,11000
172,3,3,250,2,11000
173,3,4,450,2,20000
174,3,3,450,2,20000
175,2,3,450,2,20000
176,2,3,450,2,20000
177,4,2,300,4,23000
178,4,4,418,2,30000
179,2,1,160,2,8000
180,3,3,250,2,26000
184,2,2,145,2,17000
185,6,2,145,2,17000
186,2,1,200,2,13000
187,2,2,130,3,20000
188,2,2,80,2,22000
189,2,2,100,2,18000
190,3,3,600,2,35000
191,3,2,100,2,17000
192,2,2,100,2,17000
193,2,3,114,2,22000
194,2,2,100,2,18000
195,2,3,250,2,13500
196,3,4,230,2,23000
197,3,3,150,2,25000
199,3,3,310,2,25000
200,3,2,180,3,11000
201,4,3,250,2,30000
202,3,4,250,2,20000
